Datum,Typ,Castka
2026-01-01,Vydaj,2944.53
2026-01-03,Vydaj,2579.45
2026-01-08,Vydaj,3223.05
2026-01-11,Prijem,12745.82
2026-01-11,Vydaj,2879.19
2026-01-13,Prijem,14479.69
2026-01-15,Odvod,10000.0
2026-01-16,Prijem,14908.99
2026-01-19,Prijem,14149.13
2026-01-19,Vydaj,2343.63
2026-01-28,Vydaj,3728.87
2026-02-02,Prijem,23054.24
2026-02-04,Vydaj,3461.81
2026-02-13,Vydaj,4431.88
2026-02-15,Vydaj,5362.69
2026-02-15,Odvod,10500.0
2026-02-22,Prijem,21209.91
2026-02-24,Vydaj,5697.93
2026-02-26,Prijem,23302.87
2026-02-28,Vydaj,5937.08
2026-03-02,Vydaj,5495.64
2026-03-10,Vydaj,6007.11
2026-03-15,Prijem,23426.26
2026-03-15,Odvod,11000.0
2026-03-16,Vydaj,5252.46
2026-03-18,Vydaj,3641.74
2026-03-21,Prijem,25745.12
2026-03-22,Vydaj,5399.59
2026-03-26,Prijem,26802.0
2026-03-27,Vydaj,4372.23
2026-05-01,Vydaj,6159.69
2026-05-02,Prijem,15259.9
2026-05-04,Vydaj,6769.42
2026-05-09,Prijem,20819.76
2026-05-12,Prijem,16065.56
2026-05-14,Prijem,21172.37
2026-05-15,Vydaj,6652.89
2026-05-15,Odvod,12000.0
2026-05-16,Vydaj,7466.8
2026-05-20,Vydaj,5502.59
2026-05-24,Vydaj,6798.27
2026-05-27,Prijem,20101.02
2026-06-09,Vydaj,8256.69
2026-06-15,Odvod,12500.0
2026-06-17,Prijem,37040.98
2026-06-20,Vydaj,12339.73
2026-06-22,Vydaj,10406.64
2026-06-23,Vydaj,10238.02
2026-06-24,Prijem,39986.33
2026-06-28,Prijem,30873.08
2026-07-03,Vydaj,8560.07
2026-07-07,Prijem,26775.69
2026-07-08,Prijem,23000.44
2026-07-14,Vydaj,11223.84
2026-07-14,Vydaj,7449.36
2026-07-15,Odvod,13000.0
2026-07-16,Prijem,27950.68
2026-07-17,Prijem,26654.29
2026-07-19,Vydaj,7347.4
2026-07-19,Vydaj,9524.79
2026-08-05,Prijem,43095.65
2026-08-05,Prijem,37790.68
2026-08-05,Vydaj,9180.79
2026-08-06,Vydaj,8096.15
2026-08-10,Vydaj,9650.36
2026-08-10,Vydaj,6266.21
2026-08-12,Vydaj,6149.56
2026-08-15,Vydaj,8102.19
2026-08-15,Odvod,13500.0
2026-08-17,Prijem,37717.71
