Datum,Typ,Castka
2026-01-07,Vydaj,10163.89
2026-01-07,Vydaj,10343.02
2026-01-10,Prijem,20437.73
2026-01-11,Prijem,21284.92
2026-01-15,Odvod,12500.0
2026-01-17,Vydaj,9187.2
2026-01-18,Prijem,18536.23
2026-01-20,Prijem,20028.05
2026-01-20,Vydaj,8675.49
2026-01-21,Prijem,16475.36
2026-01-28,Vydaj,9229.11
2026-02-01,Vydaj,6497.18
2026-02-08,Vydaj,7190.92
2026-02-14,Prijem,32341.7
2026-02-14,Prijem,32032.25
2026-02-14,Vydaj,4911.72
2026-02-15,Odvod,12500.0
2026-02-16,Vydaj,6658.96
2026-02-17,Vydaj,4101.39
2026-02-23,Vydaj,5839.44
2026-02-26,Vydaj,6990.85
2026-02-28,Prijem,39519.77
2026-06-07,Prijem,30661.21
2026-06-09,Vydaj,9327.74
2026-06-15,Odvod,12500.0
2026-06-18,Vydaj,12147.98
2026-06-22,Vydaj,12372.97
2026-06-25,Prijem,31134.85
2026-06-26,Prijem,33570.24
2026-06-27,Vydaj,7384.33
2026-09-05,Prijem,20257.29
2026-09-06,Prijem,27553.25
2026-09-07,Vydaj,11662.56
2026-09-09,Vydaj,12683.62
2026-09-13,Vydaj,9082.56
2026-09-14,Vydaj,9211.05
2026-09-15,Odvod,12500.0
2026-09-25,Prijem,26987.96
2026-09-27,Prijem,22828.45
