Datum,Typ,Castka
2026-01-08,Vydaj,3962.19
2026-01-08,Vydaj,4032.72
2026-01-11,Prijem,10868.46
2026-01-12,Vydaj,3104.68
2026-01-12,Vydaj,3631.87
2026-01-15,Odvod,10000.0
2026-01-20,Vydaj,3618.26
2026-01-21,Prijem,14268.18
2026-01-25,Vydaj,4019.21
2026-01-27,Prijem,13717.55
2026-01-27,Prijem,11716.92
2026-01-28,Vydaj,3089.72
2026-02-11,Prijem,15704.22
2026-02-12,Vydaj,4441.06
2026-02-15,Odvod,10500.0
2026-02-16,Vydaj,5536.29
2026-02-16,Vydaj,5733.08
2026-02-18,Prijem,12803.1
2026-02-21,Vydaj,4284.27
2026-02-23,Prijem,16158.48
2026-02-24,Vydaj,4663.38
2026-02-26,Vydaj,4755.17
2026-03-02,Vydaj,6735.16
2026-03-02,Prijem,14839.06
2026-03-04,Prijem,14336.94
2026-03-05,Prijem,16786.94
2026-03-09,Prijem,17761.32
2026-03-15,Odvod,11000.0
2026-03-17,Vydaj,4495.21
2026-03-18,Vydaj,5812.49
2026-03-20,Prijem,14221.55
2026-03-23,Vydaj,4651.53
2026-03-26,Vydaj,5263.85
2026-04-03,Vydaj,5099.0
2026-04-04,Prijem,17907.99
2026-04-05,Prijem,21118.26
2026-04-05,Vydaj,4859.78
2026-04-08,Vydaj,6958.54
2026-04-09,Prijem,23357.91
2026-04-09,Prijem,16145.26
2026-04-15,Odvod,11500.0
2026-04-17,Prijem,20083.44
2026-04-17,Vydaj,5781.56
2026-04-19,Vydaj,6020.86
2026-04-20,Vydaj,5433.76
2026-04-22,Vydaj,6408.64
2026-05-03,Prijem,20510.22
2026-05-05,Prijem,18241.21
2026-05-07,Vydaj,7211.63
2026-05-11,Prijem,24440.25
2026-05-13,Vydaj,6713.99
2026-05-14,Prijem,23148.37
2026-05-14,Prijem,21028.69
2026-05-15,Odvod,12000.0
2026-05-23,Vydaj,5196.19
2026-05-26,Vydaj,5578.06
2026-06-03,Prijem,22315.82
2026-06-05,Vydaj,7202.26
2026-06-07,Vydaj,6568.91
2026-06-10,Vydaj,5714.63
2026-06-15,Odvod,12500.0
2026-06-20,Vydaj,9042.02
2026-06-21,Vydaj,7546.07
2026-06-23,Vydaj,8330.51
2026-06-24,Vydaj,9418.19
2026-06-25,Prijem,27510.81
2026-06-28,Prijem,24938.77
2026-07-06,Vydaj,10153.07
2026-07-07,Vydaj,8338.39
2026-07-08,Prijem,25443.16
2026-07-10,Vydaj,10439.04
2026-07-13,Prijem,31340.41
2026-07-15,Odvod,13000.0
2026-07-16,Prijem,29868.85
2026-07-18,Prijem,22040.14
2026-07-22,Vydaj,6593.22
2026-07-26,Prijem,28511.83
2026-08-01,Vydaj,9945.77
2026-08-04,Vydaj,10923.41
2026-08-06,Prijem,33010.25
2026-08-10,Vydaj,8797.81
2026-08-11,Prijem,24133.9
2026-08-12,Prijem,32483.1
2026-08-15,Odvod,13500.0
2026-08-16,Vydaj,12163.89
2026-08-17,Prijem,35630.96
2026-08-20,Prijem,24957.08
2026-08-23,Vydaj,9201.91
2026-09-03,Vydaj,8190.4
2026-09-06,Vydaj,8138.27
2026-09-12,Prijem,35204.18
2026-09-12,Vydaj,9699.26
2026-09-13,Vydaj,11861.97
2026-09-15,Odvod,14000.0
2026-09-21,Vydaj,7734.52
2026-09-25,Prijem,34065.96
2026-09-28,Prijem,37367.24
2026-10-07,Vydaj,10839.31
2026-10-12,Vydaj,13322.47
2026-10-15,Odvod,14500.0
2026-10-15,Vydaj,11136.33
2026-10-16,Vydaj,11260.5
2026-10-16,Prijem,34901.04
2026-10-17,Prijem,41622.91
2026-10-18,Vydaj,10276.47
2026-10-19,Vydaj,9536.55
2026-10-19,Prijem,31596.73
2026-10-22,Prijem,30953.22
2026-11-01,Prijem,35843.5
2026-11-02,Prijem,41915.09
2026-11-03,Vydaj,10356.37
2026-11-03,Vydaj,14095.42
2026-11-06,Prijem,33342.36
2026-11-07,Vydaj,9527.0
2026-11-09,Prijem,44597.64
2026-11-09,Vydaj,11936.91
2026-11-10,Prijem,32632.17
2026-11-15,Odvod,15000.0
2026-11-19,Vydaj,13409.75
2026-11-23,Vydaj,11548.9
2026-12-11,Vydaj,14370.71
2026-12-13,Prijem,33951.48
2026-12-15,Odvod,15500.0
2026-12-17,Prijem,44945.06
2026-12-19,Vydaj,13458.44
2026-12-21,Vydaj,15417.95
2026-12-22,Prijem,35219.24
2026-12-23,Vydaj,11053.94
2026-12-24,Vydaj,11484.36
2026-12-25,Prijem,47760.05
2026-12-27,Vydaj,16501.23
