Datum,Typ,Castka
2026-01-01,Vydaj,4412.94
2026-01-03,Vydaj,3749.35
2026-01-04,Vydaj,4312.08
2026-01-06,Vydaj,4338.41
2026-01-08,Prijem,16333.65
2026-01-14,Vydaj,3519.8
2026-01-14,Vydaj,3751.56
2026-01-17,Prijem,17616.27
2026-01-18,Vydaj,3587.55
2026-01-18,Prijem,16498.11
2026-01-19,Vydaj,3822.51
2026-01-21,Prijem,16255.42
2026-01-21,Prijem,17891.67
2026-01-24,Prijem,16709.41
2026-03-07,Prijem,18601.34
2026-03-11,Prijem,16717.3
2026-03-11,Prijem,16230.13
2026-03-12,Vydaj,4222.43
2026-03-13,Vydaj,3599.57
2026-03-15,Vydaj,4139.51
2026-03-26,Vydaj,3534.13
2026-04-10,Prijem,18246.88
2026-04-10,Vydaj,4691.09
2026-04-12,Vydaj,4190.03
2026-04-13,Prijem,16165.21
2026-04-20,Prijem,18402.32
2026-04-22,Vydaj,3760.72
2026-04-23,Vydaj,3566.2
2026-05-06,Vydaj,11503.82
2026-05-07,Vydaj,12581.1
2026-05-08,Prijem,53637.63
2026-05-13,Prijem,48866.77
2026-05-21,Prijem,53375.19
2026-05-21,Vydaj,10430.91
2026-05-23,Vydaj,13538.03
2026-06-02,Vydaj,10997.01
2026-06-08,Vydaj,12632.95
2026-06-15,Prijem,49689.45
2026-06-21,Prijem,48000.7
2026-06-21,Vydaj,12645.69
2026-06-24,Prijem,48597.93
2026-06-27,Vydaj,12933.51
2026-07-02,Prijem,53139.57
2026-07-07,Prijem,54015.82
2026-07-11,Vydaj,10938.04
2026-07-13,Prijem,48783.82
2026-07-16,Vydaj,11595.21
2026-07-19,Vydaj,13321.54
2026-07-21,Vydaj,11822.24
2026-08-03,Vydaj,4409.23
2026-08-05,Vydaj,4106.7
2026-08-09,Prijem,16333.91
2026-08-09,Prijem,18018.38
2026-08-13,Vydaj,3925.46
2026-08-14,Vydaj,4583.73
2026-08-24,Prijem,17503.53
