Datum,Typ,Castka
2026-01-01,Prijem,28109.98
2026-01-03,Prijem,28778.08
2026-01-04,Prijem,27402.61
2026-01-08,Prijem,21435.45
2026-01-09,Vydaj,8248.6
2026-01-09,Vydaj,9683.12
2026-01-12,Vydaj,6407.17
2026-01-14,Vydaj,6817.37
2026-01-15,Odvod,12500.0
2026-01-26,Prijem,23473.3
2026-02-01,Vydaj,7079.07
2026-02-07,Vydaj,10024.56
2026-02-09,Vydaj,5686.98
2026-02-10,Prijem,29044.95
2026-02-12,Prijem,24166.82
2026-02-15,Odvod,12500.0
2026-02-17,Prijem,22140.55
2026-02-20,Vydaj,7815.57
2026-02-21,Prijem,22887.12
2026-02-22,Vydaj,7466.5
2026-02-23,Vydaj,6349.72
2026-02-24,Vydaj,9234.28
2026-03-02,Prijem,22613.28
2026-03-04,Vydaj,6247.09
2026-03-09,Prijem,27373.67
2026-03-10,Vydaj,7622.53
2026-03-12,Vydaj,6145.55
2026-03-15,Odvod,12500.0
2026-03-16,Vydaj,6250.36
2026-03-16,Prijem,28424.27
2026-03-17,Vydaj,9926.63
2026-03-27,Prijem,27694.7
2026-04-05,Prijem,22110.92
2026-04-05,Vydaj,7355.57
2026-04-07,Vydaj,10155.46
2026-04-08,Prijem,23568.17
2026-04-13,Prijem,28762.41
2026-04-14,Vydaj,9657.75
2026-04-15,Vydaj,7598.71
2026-04-15,Odvod,12500.0
2026-04-17,Vydaj,8141.06
2026-04-23,Prijem,27944.41
2026-04-24,Vydaj,9494.43
2026-04-28,Prijem,26353.58
2026-05-06,Prijem,25931.52
2026-05-14,Vydaj,9853.89
2026-05-14,Prijem,26466.41
2026-05-15,Odvod,12500.0
2026-05-19,Vydaj,9361.57
2026-05-21,Vydaj,6220.49
2026-05-24,Prijem,25890.28
2026-05-25,Vydaj,9722.38
2026-06-03,Vydaj,6764.73
2026-06-03,Prijem,26510.79
2026-06-12,Vydaj,5998.95
2026-06-15,Vydaj,8965.86
2026-06-15,Odvod,12500.0
2026-06-16,Prijem,24045.1
2026-06-17,Prijem,23169.86
2026-06-17,Prijem,26257.86
2026-06-18,Vydaj,6307.9
2026-06-19,Vydaj,9463.98
2026-06-22,Vydaj,7564.18
2026-06-24,Prijem,20778.51
2026-07-01,Prijem,28290.49
2026-07-03,Vydaj,6534.73
2026-07-12,Prijem,28141.98
2026-07-13,Vydaj,7631.66
2026-07-15,Odvod,12500.0
2026-07-16,Vydaj,6311.59
2026-07-19,Vydaj,10348.52
2026-07-20,Prijem,23177.25
2026-07-26,Prijem,21650.02
2026-07-27,Prijem,28155.72
2026-08-01,Prijem,21278.54
2026-08-03,Vydaj,9298.11
2026-08-05,Vydaj,8236.92
2026-08-08,Vydaj,10235.51
2026-08-09,Vydaj,7305.94
2026-08-15,Odvod,12500.0
2026-08-15,Prijem,21554.53
2026-08-16,Prijem,21247.84
2026-08-16,Vydaj,9735.05
2026-08-17,Prijem,25124.7
2026-08-20,Prijem,21577.0
2026-08-25,Vydaj,9032.63
2026-09-01,Vydaj,10363.31
2026-09-11,Vydaj,5910.56
2026-09-12,Prijem,23926.95
2026-09-15,Odvod,12500.0
2026-09-17,Vydaj,7109.24
2026-09-20,Vydaj,6033.1
2026-09-23,Vydaj,7531.86
2026-09-24,Prijem,27207.87
2026-09-24,Vydaj,9101.24
2026-09-26,Prijem,20280.61
2026-09-27,Prijem,20003.39
2026-10-04,Prijem,28310.95
2026-10-07,Vydaj,9437.0
2026-10-08,Vydaj,7905.57
2026-10-15,Vydaj,5938.94
2026-10-15,Odvod,12500.0
2026-10-18,Vydaj,9340.53
2026-10-20,Vydaj,7499.5
2026-10-21,Prijem,20391.88
2026-10-22,Prijem,20522.58
2026-10-23,Prijem,25875.7
2026-10-23,Prijem,29642.18
2026-11-03,Prijem,21636.45
2026-11-04,Prijem,26781.86
2026-11-05,Vydaj,10096.85
2026-11-06,Prijem,29772.22
2026-11-13,Vydaj,7713.78
2026-11-15,Odvod,12500.0
2026-11-15,Vydaj,7011.68
2026-11-15,Prijem,24054.78
2026-11-15,Vydaj,6179.88
2026-11-20,Prijem,20094.88
2026-11-21,Vydaj,9325.88
2026-12-15,Odvod,12500.0
2026-12-16,Vydaj,8679.02
2026-12-18,Vydaj,7416.51
2026-12-19,Prijem,24145.12
2026-12-22,Prijem,26018.2
2026-12-23,Prijem,27324.83
2026-12-27,Vydaj,6989.9
2026-12-28,Vydaj,9391.65
